Comprimentos de ondas:;Intensidades Relativas Ponderadas:
380.0;0.00600173125586
382.325581395;0.00611962599504
384.651162791;0.00659120495175
386.976744186;0.00659120495175
389.302325581;0.00664757769992
391.627906977;0.00923983459203
393.953488372;0.014217415558
396.279069767;0.0212786874014
398.604651163;0.0328732116779
400.930232558;0.0474309237597
403.255813953;0.070013100282
405.581395349;0.0982909257803
407.906976744;0.134723263419
410.23255814;0.177864683949
412.558139535;0.228020801082
414.88372093;0.284070728287
417.209302326;0.34193936346
419.534883721;0.399046568827
421.860465116;0.449627002784
424.186046512;0.494590329066
426.511627907;0.540303923421
428.837209302;0.587591238393
431.162790698;0.63025522055
433.488372093;0.667502695952
435.813953488;0.704735460341
438.139534884;0.742360747065
440.465116279;0.766879954525
442.790697674;0.774738756922
445.11627907;0.774374856441
447.441860465;0.75869244742
449.76744186;0.75779353424
452.093023256;0.731806501618
454.418604651;0.700231772823
456.744186047;0.672065860016
459.069767442;0.653954008722
461.395348837;0.643316116367
463.720930233;0.636582192271
466.046511628;0.624978900782
468.372093023;0.604135384797
470.697674419;0.576883656511
473.023255814;0.545848811892
475.348837209;0.509551563748
477.674418605;0.476676521205
480.0;0.445849164763
482.325581395;0.422487220062
484.651162791;0.404228444578
486.976744186;0.385570947702
489.302325581;0.376301212134
491.627906977;0.373042304944
493.953488372;0.374897012749
496.279069767;0.382290102901
498.604651163;0.393665008095
500.930232558;0.406412445436
503.255813953;0.423272845404
505.581395349;0.444397243167
507.906976744;0.468969628726
510.23255814;0.495165047972
512.558139535;0.523603094633
514.88372093;0.556190112036
517.209302326;0.585789570032
519.534883721;0.612495242705
521.860465116;0.634866229506
524.186046512;0.654559673521
526.511627907;0.671185356834
528.837209302;0.686164366637
531.162790698;0.698650861408
533.488372093;0.708037299008
535.813953488;0.717453550404
538.139534884;0.724519740306
540.465116279;0.73024887284
542.790697674;0.732305702203
545.11627907;0.731165452143
547.441860465;0.725212838961
549.76744186;0.718201721237
552.093023256;0.711227999115
554.418604651;0.702234625681
556.744186047;0.690783273436
559.069767442;0.680111035936
561.395348837;0.668766591882
563.720930233;0.652350297016
566.046511628;0.631559547746
568.372093023;0.6183634989
570.697674419;0.605545552456
573.023255814;0.612278368888
575.348837209;0.615931731959
577.674418605;0.733966548426
580.0;0.814574795837
582.325581395;0.897657278215
584.651162791;0.963583868938
586.976744186;0.994035151693
589.302325581;1.0
591.627906977;0.961351983569
593.953488372;0.948669936255
596.279069767;0.906814276278
598.604651163;0.864367476648
600.930232558;0.821930734568
603.255813953;0.779649948586
605.581395349;0.737098387829
607.906976744;0.693113822765
610.23255814;0.647991722756
612.558139535;0.606285124803
614.88372093;0.564204385354
617.209302326;0.521649882399
619.534883721;0.481510415833
621.860465116;0.446981513296
624.186046512;0.411854278695
626.511627907;0.375336523944
628.837209302;0.341610078981
631.162790698;0.309444736119
633.488372093;0.279288685647
635.813953488;0.252465366346
638.139534884;0.226580391237
640.465116279;0.202764833206
642.790697674;0.182682394203
645.11627907;0.162831175424
647.441860465;0.14366329335
649.76744186;0.126901965685
652.093023256;0.111099563904
654.418604651;0.0959227538459
656.744186047;0.0837749385583
659.069767442;0.0729766327748
661.395348837;0.0633684452381
663.720930233;0.0549040306666
666.046511628;0.0474689516127
668.372093023;0.0409301183718
670.697674419;0.0352167851316
673.023255814;0.0302045908558
675.348837209;0.025815894904
677.674418605;0.0219884435818
680.0;0.0186463369825
682.325581395;0.0158224344607
684.651162791;0.013364042262
686.976744186;0.0112232134271
689.302325581;0.00943400942864
691.627906977;0.00792933903184
693.953488372;0.00670124962028
696.279069767;0.00562072823979
698.604651163;0.00470781195238
700.930232558;0.00397446565231
703.255813953;0.0033557787126
705.581395349;0.0027513200488
707.906976744;0.0023083979487
710.23255814;0.00193476147102
712.558139535;0.00157618181975
714.88372093;0.00128415454174
717.209302326;0.00108061799729
719.534883721;0.000897085384167
721.860465116;0.000728796438725
724.186046512;0.000591733829189
726.511627907;0.000490143309275
728.837209302;0.000407167141026
731.162790698;0.000326435973651
733.488372093;0.000265642537932
735.813953488;0.000215162458379
738.139534884;0.000177850034009
740.465116279;0.000144514721192
742.790697674;0.000115549348768
745.11627907;9.41098558093e-05
747.441860465;7.45609765871e-05
749.76744186;5.98957997752e-05
752.093023256;4.77091203258e-05
754.418604651;3.79155038029e-05
756.744186047;3.0003976048e-05
759.069767442;2.26006729266e-05
761.395348837;1.93138265055e-05
763.720930233;1.59030635657e-05
766.046511628;1.21052366843e-05
768.372093023;9.9120657051e-06
770.697674419;8.2302346669e-06
773.023255814;6.36502529907e-06
775.348837209;5.41692438389e-06
777.674418605;3.53663005894e-06
780.0;3.0081304758e-06
